Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bosnia and Herzegovina,BIH,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.535520835,5.262105029,8.512872036,7.41025689,6.892307226,7.633605694,6.563366437,6.956260837,6.96421761,7.245432126,7.046712871,6.986035988,7.002903213,7.407424338,6.94929329,6.463042961,6.253601201,5.726715011,6.071824662,6.435990967,5.370290661,,,,,,,
Belarus,BLR,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.992100661,2.02011849,2.188511858,2.374407904,2.468971621,2.391292192,2.393822742,2.673504231,2.958461464,3.141489417,3.270442446,3.410525829,3.514219095,3.654060338,3.937851538,4.312371321,4.456386919,4.940991392,5.43735885,5.738226478,5.961431819,5.892125293,5.764785454,6.510538131,6.510758135,,,,,,,
Belize,BLZ,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99560027,,,,,,,,,,,,,,17.04752713,16.77302794,16.42024772,16.38634418,,,,,,,,,,,,,,
Bermuda,BMU,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06315503,12.31822406,11.82136595,11.5292985,10.96284835,10.22592805,9.92617655,9.552234325,9.925346469,10.14301481,9.29425109,12.14643917,10.38377263,10.25851694,10.67361394,10.21902879,8.556496503,10.98149209,10.96020855,10.87520186,10.39523625,10.35563179,9.468750728,10.05781304,9.934398356,,,,,,,
Brazil,BRA,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18079197,11.08655762,10.91246233,11.17032935,11.23178506,11.31874859,10.98451587,10.8087151,10.59117673,10.40489687,10.81795009,10.78023203,10.82298577,10.76943336,10.78972414,10.86166439,10.91264513,10.95354234,10.90396583,11.25827641,10.94823851,11.20791788,10.94887692,10.81751705,10.53097888,,,,,,,
Barbados,BRB,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33384152,,,,,,,,,,,,,,11.16683868,11.16205601,11.60628282,11.75878656,,,,,,,,,,,,,,
Brunei Darussalam,BRN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67175166,9.734459197,9.483979121,9.882016058,10.98547909,9.579348438,9.789984737,9.339744789,9.326915684,9.426673209,9.643958493,10.70190495,11.37578659,10.08195837,11.05146675,11.48846046,8.440662983,8.255376068,7.374456881,8.434411373,8.126101604,7.05352049,7.197521645,8.868954251,7.401311589,,,,,,,
Bhutan,BTN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.31597565,,,,,,,,,,,,,,18.33088499,17.35297261,17.95164735,18.37405564,,,,,,,,,,,,,,
Botswana,BWA,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09152773,10.64736645,9.508865272,9.662097482,10.16123733,10.61934715,11.51920985,11.89294181,10.58237039,11.23820016,11.02580586,10.92538894,11.40826752,11.9746181,12.50625984,12.67098609,13.28597169,13.60021344,13.26952902,12.21388304,12.2880594,13.66496342,12.02844629,12.63641412,12.20271964,,,,,,,
