Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1861.53633,1850.76272,1948.315097,2124.695614,2455.141065,2999.560065,3520.043636,3662.605164,4251.551066,4578.110564,4806.189227,5137.884031,5474.686984,14868.19475,15378.41727,15839.76757,14148.08226,14786.78438,14809.66286,14972.42075,13533.42734,17450.89906,20228.14616,18969.95216,18902.52458,18836.64477,19238.69558,19393.76996,18980.45607,18697.23744,19228.84683,19663.94236,19786.54839,18900.93119,21024.0143,21230.07556,20501.05139,18562.73242,17542.87793,18442.79011,18889.06398,18942.16773,19483.65385,19969.73612,,,,,,,
"Bahamas, The",BHS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2917.466752,2043.805218,1100.396891,732.1871447,935.3246525,979.3290383,1085.023073,1277.994579,1610.426485,1653.497917,1822.29294,1851.758264,1873.328236,2008.48185,2109.653717,2197.691081,2212.619447,2236.845651,2843.237497,2785.893882,3068.152716,3270.51445,3413.37055,3402.294199,3360.899316,,,,,,,
Belarus,BLR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.751349,4426.013214,3912.701745,3450.222433,3068.36199,2790.020749,2806.615123,2952.92294,3015.400275,3005.364257,2996.309475,3009.402482,3000.745625,3063.056939,3174.053092,3245.372088,3365.981865,3393.908536,3481.743517,3299.460902,3566.173013,3632.87856,3704.309041,3657.124679,3690.103683,,,,,,,
Belize,BLZ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,162.1068083,170.0111227,169.7180559,177.3118604,184.8754704,194.6855238,210.8533745,221.649789,231.0003957,246.5094678,258.5711386,257.2140959,246.3802687,244.564635,237.094852,227.3848307,225.9273304,237.6518062,249.3834128,257.4619578,271.5016692,280.887518,303.0026288,322.9906149,341.7726087,360.1036227,378.7348609,395.8040905,409.1691816,407.4409589,408.7543637,422.3318855,429.9257467,439.9823399,469.2138152,499.1269209,530.2151588,519.3008152,537.5414983,586.3094685,617.9153514,642.5917413,682.9341577,728.2229062,,,,,,,
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,453.9099414,492.4581099,547.0984259,596.652237,642.6004513,712.3774865,779.7181752,848.9223386,929.3303173,1003.398663,1008.508081,1043.032061,1098.777598,1195.036701,1268.898705,1339.619776,1352.986978,1403.734409,1433.521015,1444.251429,1469.859302,1478.331187,1522.14509,1551.697525,1619.450624,1672.631979,1748.423361,1795.079232,1820.045932,1885.665465,1737.976157,1797.268162,1873.812369,1948.58174,2008.56721,2065.192202,2160.232633,2222.415792,2189.997778,2366.38012,2422.576221,2492.837864,2560.09556,2610.999282,,,,,,,
Barbados,BRB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1716.354406,1654.087264,1576.493476,1548.790129,1496.996611,1447.92323,1401.266417,1356.597948,1313.540459,1745.414296,2333.860556,2706.474605,3146.639168,3344.481605,3300.032865,3233.035267,4189.944134,4260.79136,4258.906867,4272.166397,4413.399541,4758.197076,5212.266388,5532.053368,6342.42403,6793.034527,7592.22898,7730.702916,7356.785763,7528.614124,7166.586451,7359.056936,8532.813625,8572.355955,8426.116051,8374.283814,8528.097838,8474.444052,8695.629895,8645.307572,8612.57366,9067.121785,9698.762697,10121.0591,,,,,,,
Bhutan,BTN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,555.5855169,590.4151381,587.3385644,601.3628465,623.5158566,709.7653365,801.402208,684.2298886,697.5648993,737.9941766,819.2185336,888.297629,882.1948461,918.4965654,890.755192,915.1993245,978.7853675,1043.667961,1022.134624,1099.604224,1164.631966,1210.49729,1293.474114,1405.53014,1392.11235,1422.198533,1463.667343,1472.11207,1658.860408,1483.029779,1419.844173,1646.574807,1978.101077,1677.597002,,,,,,,
Central African Republic,CAF,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5630.520718,5605.111926,5791.12496,5966.04092,6468.926261,6909.89938,7359.088188,7630.168528,8030.418434,8532.908503,8962.202213,9166.683666,9803.558419,10241.92086,10804.6008,10466.58262,11075.95423,11797.26259,12269.0193,12422.76113,12803.97551,13239.40876,12981.07867,13457.06579,14343.39203,14857.25859,15363.39958,15798.28727,16389.3381,16464.03951,16167.37456,16181.58875,16164.41904,16320.1273,16388.2805,16532.38204,16607.20634,16653.67705,16435.78699,16678.9326,17037.07228,16840.19375,16960.63967,17208.52352,17264.73674,16948.27522,16508.33955,16683.13366,16377.4797,15450.73069,15269.74548,15644.54028,15336.62486,15750.81163,15588.48715,,,,,,,
Central Europe and the Baltics,CEB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2088.953932,2243.537338,2389.988868,2522.681552,2683.047695,2848.02763,2984.659292,3124.946032,3161.268299,3307.321825,3279.077795,3320.051852,3436.825561,3562.911068,3646.653521,3762.2451,3867.978457,3934.078456,3948.025175,3744.05173,3469.592191,3217.340132,3148.027474,3172.222718,3299.390049,3426.015136,3383.432546,3337.015191,3281.614517,3341.726801,3430.725054,3454.635941,3588.323461,3676.626455,3739.653466,3888.525599,3984.588999,4048.765487,3840.536028,4017.412247,4096.894084,4093.459357,4075.34293,4115.630201,,,,,,,
Switzerland,CHE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3075.550313,3225.99403,3278.006177,3351.452791,3454.519325,3586.28881,3653.428978,3749.633874,3852.192111,4022.725425,4306.508607,4615.348218,4776.267394,5010.188911,5027.119384,4878.812968,5082.900384,5324.959952,5520.44673,5779.137371,5992.333459,6119.695805,6189.342434,6330.493382,6601.038674,6854.327383,6994.485345,7163.214775,7203.885833,7369.28667,7445.292017,7538.406742,7430.297509,7235.094076,7155.485684,7283.380159,7393.539173,7341.612373,7481.433547,7646.706162,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025,,,,,,,
Channel Islands,CHI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,758.0842793,784.5638057,754.7651584,797.2123445,727.9456209,765.303124,790.4384568,830.4192194,872.5859142,898.7929026,914.706478,882.5815115,901.263999,961.3296544,982.6067571,1022.493744,1048.629474,1115.386756,1202.335143,1231.294501,1307.482076,1450.483907,1508.959676,1583.739096,1741.024844,1922.823898,2066.135653,2174.205571,2390.815746,2497.752869,2627.354922,2726.237575,2896.06379,3063.872155,3097.065645,3226.346569,3346.480727,3347.665409,3306.86876,3318.305248,3596.106646,3820.371057,3893.506112,3895.436156,,,,,,,
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,151.9893473,163.9119288,175.933737,174.2333537,199.0397154,204.0303647,220.6570531,246.5557723,267.3742654,281.6246873,285.8177757,299.1979219,317.0202578,336.4116413,362.8120719,391.351625,426.5544932,461.7975182,487.373173,510.6198549,548.9537531,604.6936831,662.6370456,727.1073597,770.2802412,821.0808591,852.7406865,870.6172223,913.963448,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3295.784868,3466.019539,3757.185088,3905.317598,,,,,,,
Cote d'Ivoire,CIV,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,90.40252204,97.15745059,106.9138758,109.483651,117.8876918,131.1830697,140.7785973,154.2693657,191.0867534,176.9067452,183.9561261,182.7199661,175.2845546,130.6461998,150.4404573,151.6086228,171.1445906,175.7643826,161.3023811,160.6140444,148.3515315,152.7459135,143.7320222,145.7729644,175.1082381,160.0167876,169.7374052,183.8074177,172.4592121,170.4200142,178.0757704,172.1340042,169.4040406,168.0246049,166.1024928,175.7239344,180.9998133,189.4840408,194.5084773,209.0431449,192.0426896,229.842633,229.2019482,270.5740305,,,,,,,
Cameroon,CMR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,153.7567806,156.8404463,154.1717533,170.8202583,176.1425644,167.41186,156.8587213,157.8629672,157.3384306,157.9832418,199.6817777,224.0525187,218.5988205,210.0210652,229.798208,214.2847537,213.5346258,215.9007611,216.6968972,205.1525215,198.1708003,194.5813385,196.7682123,172.2331519,164.7788501,170.4563368,180.4725152,177.3713675,182.3936951,180.1665218,169.8158547,159.356211,171.6976903,197.5084546,191.3729248,252.2064118,260.41173,273.8977374,271.3870097,267.5817671,262.0682323,252.7494827,257.3863361,279.9155231,,,,,,,
"Congo, Dem. Rep.",COD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,161.1069248,157.6616141,166.1030298,168.0296805,166.1409513,161.1920279,158.3083173,148.0297374,141.6065315,148.940311,133.5868959,128.0333095,135.1827734,137.7516863,143.7335282,145.7204339,140.5575728,140.236821,162.8673334,125.8768972,121.1459276,112.2291064,100.6042216,98.23668996,104.5839731,101.6122208,93.27967361,91.27251712,92.53134812,93.56940798,92.34301941,86.62060799,87.19000631,85.37714451,86.66628812,98.62691398,102.0411176,98.21730294,103.7649903,101.7754491,105.0335268,109.0596098,113.6808823,105.2796488,,,,,,,
"Congo, Rep.",COG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,53.46631865,54.53539212,59.39680262,60.11592882,62.77174164,65.44903442,67.40199311,69.25338555,73.25728742,80.90721036,68.42943749,103.0531995,98.88049856,148.8705571,112.481849,175.0701104,178.1917105,166.4199214,168.1631027,171.8764083,182.6577105,175.3301721,158.4322989,142.3636868,149.5090451,152.6666063,128.6939959,111.3318076,69.61343659,95.40431968,103.5616288,114.6748368,114.1721512,104.4309192,115.7143017,123.5143207,122.841149,132.7757567,140.9367124,134.9742355,141.5727357,205.3781493,204.0154381,194.3431777,,,,,,,
Colombia,COL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,426.387475,411.6803981,444.8499079,485.5473245,467.1904663,483.0844743,528.0248353,584.7556081,624.7233361,654.9080185,651.0868259,676.1127106,679.9720523,736.4835453,771.2882584,825.8650396,800.3124395,819.1836592,865.7362625,884.992859,883.9097411,789.7984383,884.8254941,922.2432312,932.0240719,922.130149,928.3774035,904.1647079,836.6197328,854.5425127,874.9964701,882.359121,885.5101847,921.5509274,918.4068379,970.661103,998.4163608,998.3724183,1076.095349,1104.491269,1148.560242,1177.569983,1317.965575,1320.34513,,,,,,,
